year	metric1	metric2	corrcoef
1962	fitness_year	fitness_year	1.0
1962	fitness_year	fitness_v2	0.9950895595359793
1962	fitness_year	eci_year	0.8574052180096893
1962	fitness_year	kc	0.9178773855517172
1962	fitness_year	xc1	0.9805040224009955
1962	fitness_year	xc2	-0.20965376238943953
1962	fitness_year	genepy	0.9856384728210142
1962	fitness_year	ability	0.9789359527090092
1962	fitness_year	fe	0.3927267878572381
1962	fitness_year	hc	0.8495087332851334
1962	fitness_year	avgrca_p	0.8297204320192009
1962	fitness_year	avgrca_m	0.9208924841104049
1962	fitness_year	avgrca_c	0.9005929152406774
1962	fitness_year	proj_p	0.820219565314014
1962	fitness_year	proj_m	0.8060109338192809
1962	fitness_year	proj_c	0.8051433397039869
1962	fitness_year	eci	0.8574052180096893
1962	fitness_year	bin	0.7166446219024509
1962	fitness_year	x1d	0.9923694386417174
1962	fitness_year	x2divsqrtd	0.2189021734299302
1962	fitness_v2	fitness_year	0.9950895595359793
1962	fitness_v2	fitness_v2	1.0
1962	fitness_v2	eci_year	0.8527543446375394
1962	fitness_v2	kc	0.9391417030176485
1962	fitness_v2	xc1	0.9730334681541402
1962	fitness_v2	xc2	-0.2454384639317303
1962	fitness_v2	genepy	0.9859335970487577
1962	fitness_v2	ability	0.9889026178941286
1962	fitness_v2	fe	0.3784221520956487
1962	fitness_v2	hc	0.8734315955660107
1962	fitness_v2	avgrca_p	0.8589732877016756
1962	fitness_v2	avgrca_m	0.939819547535446
1962	fitness_v2	avgrca_c	0.9234597093204142
1962	fitness_v2	proj_p	0.8261042713009467
1962	fitness_v2	proj_m	0.7985830481354727
1962	fitness_v2	proj_c	0.7999839992888573
1962	fitness_v2	eci	0.8527543446375394
1962	fitness_v2	bin	0.7441236948752823
1962	fitness_v2	x1d	0.9955731365838482
1962	fitness_v2	x2divsqrtd	0.19299168851948975
1962	eci_year	fitness_year	0.8574052180096893
1962	eci_year	fitness_v2	0.8527543446375394
1962	eci_year	eci_year	1.0
1962	eci_year	kc	0.7124889491694947
1962	eci_year	xc1	0.8960238232810347
1962	eci_year	xc2	-0.07671274278856838
1962	eci_year	genepy	0.8718734165962931
1962	eci_year	ability	0.8417387439441752
1962	eci_year	fe	0.4913267256322503
1962	eci_year	hc	0.631136167062045
1962	eci_year	avgrca_p	0.6097355438019467
1962	eci_year	avgrca_m	0.7548335481576959
1962	eci_year	avgrca_c	0.7078696830970266
1962	eci_year	proj_p	0.9118538601715632
1962	eci_year	proj_m	0.8385243788612827
1962	eci_year	proj_c	0.7826783412596116
1962	eci_year	eci	1.0
1962	eci_year	bin	0.5138613315999994
1962	eci_year	x1d	0.8553820169785323
1962	eci_year	x2divsqrtd	0.17877238988399485
1962	kc	fitness_year	0.9178773855517172
1962	kc	fitness_v2	0.9391417030176485
1962	kc	eci_year	0.7124889491694947
1962	kc	kc	1.0
1962	kc	xc1	0.8613356134426486
1962	kc	xc2	-0.28716701996721355
1962	kc	genepy	0.8961932254586663
1962	kc	ability	0.9633822777512535
1962	kc	fe	0.2869588776478365
1962	kc	hc	0.9434299176399964
1962	kc	avgrca_p	0.9600253157284799
1962	kc	avgrca_m	0.9663549770305617
1962	kc	avgrca_c	0.9754331843449303
1962	kc	proj_p	0.7370977756989207
1962	kc	proj_m	0.6755552509422545
1962	kc	proj_c	0.6963890518159701
1962	kc	eci	0.7124889491694947
1962	kc	bin	0.8243062395585217
1962	kc	x1d	0.9400881279228502
1962	kc	x2divsqrtd	0.2061960997411728
1962	xc1	fitness_year	0.9805040224009955
1962	xc1	fitness_v2	0.9730334681541402
1962	xc1	eci_year	0.8960238232810347
1962	xc1	kc	0.8613356134426486
1962	xc1	xc1	1.0
1962	xc1	xc2	-0.1819867549668874
1962	xc1	genepy	0.9850731143606383
1962	xc1	ability	0.9524565536246056
1962	xc1	fe	0.380989377305658
1962	xc1	hc	0.7920412392031568
1962	xc1	avgrca_p	0.7696928752388995
1962	xc1	avgrca_m	0.8846775412240544
1962	xc1	avgrca_c	0.855101115605138
1962	xc1	proj_p	0.8454722432108094
1962	xc1	proj_m	0.8418027467887461
1962	xc1	proj_c	0.8302288990621806
1962	xc1	eci	0.8960238232810347
1962	xc1	bin	0.6859598052499033
1962	xc1	x1d	0.9791599626650074
1962	xc1	x2divsqrtd	0.1893506378061247
1962	xc2	fitness_year	-0.20965376238943953
1962	xc2	fitness_v2	-0.2454384639317303
1962	xc2	eci_year	-0.07671274278856838
1962	xc2	kc	-0.28716701996721355
1962	xc2	xc1	-0.1819867549668874
1962	xc2	xc2	1.0
1962	xc2	genepy	-0.24148806613627272
1962	xc2	ability	-0.25709409307080316
1962	xc2	fe	0.3075852260100449
1962	xc2	hc	-0.24267233447925893
1962	xc2	avgrca_p	-0.31648517711898305
1962	xc2	avgrca_m	-0.28126583403706834
1962	xc2	avgrca_c	-0.29940352904573536
1962	xc2	proj_p	-0.10754077959020401
1962	xc2	proj_m	-0.006594070847593226
1962	xc2	proj_c	-0.00048535490466242946
1962	xc2	eci	-0.07671274278856838
1962	xc2	bin	-0.3008242843364143
1962	xc2	x1d	-0.23397839903995732
1962	xc2	x2divsqrtd	0.7564833992621894
1962	genepy	fitness_year	0.9856384728210142
1962	genepy	fitness_v2	0.9859335970487577
1962	genepy	eci_year	0.8718734165962931
1962	genepy	kc	0.8961932254586663
1962	genepy	xc1	0.9850731143606383
1962	genepy	xc2	-0.24148806613627272
1962	genepy	genepy	1.0
1962	genepy	ability	0.9676003377927908
1962	genepy	fe	0.36233610382683673
1962	genepy	hc	0.8318759339315558
1962	genepy	avgrca_p	0.8058189252855682
1962	genepy	avgrca_m	0.9130663585048224
1962	genepy	avgrca_c	0.8901960087114983
1962	genepy	proj_p	0.8434419307524779
1962	genepy	proj_m	0.8218978621272056
1962	genepy	proj_c	0.8119489755100227
1962	genepy	eci	0.8718734165962931
1962	genepy	bin	0.7224266953613735
1962	genepy	x1d	0.9847139872883239
1962	genepy	x2divsqrtd	0.13800257789235076
1962	ability	fitness_year	0.9789359527090092
1962	ability	fitness_v2	0.9889026178941286
1962	ability	eci_year	0.8417387439441752
1962	ability	kc	0.9633822777512535
1962	ability	xc1	0.9524565536246056
1962	ability	xc2	-0.25709409307080316
1962	ability	genepy	0.9676003377927908
1962	ability	ability	1.0
1962	ability	fe	0.35756433619271966
1962	ability	hc	0.8909221662496665
1962	ability	avgrca_p	0.8918743055246899
1962	ability	avgrca_m	0.9608409262633895
1962	ability	avgrca_c	0.9461629405751367
1962	ability	proj_p	0.8312885017111872
1962	ability	proj_m	0.7818249699986666
1962	ability	proj_c	0.7925916707409218
1962	ability	eci	0.8417387439441752
1962	ability	bin	0.764622318770706
1962	ability	x1d	0.9906662518334148
1962	ability	x2divsqrtd	0.202378772389884
1962	fe	fitness_year	0.3927267878572381
1962	fe	fitness_v2	0.3784221520956487
1962	fe	eci_year	0.4913267256322503
1962	fe	kc	0.2869588776478365
1962	fe	xc1	0.380989377305658
1962	fe	xc2	0.3075852260100449
1962	fe	genepy	0.36233610382683673
1962	fe	ability	0.35756433619271966
1962	fe	fe	1.0
1962	fe	hc	0.3029150654830882
1962	fe	avgrca_p	0.192166762967243
1962	fe	avgrca_m	0.2470563136139384
1962	fe	avgrca_c	0.2279727987910574
1962	fe	proj_p	0.35246899862216097
1962	fe	proj_m	0.3293497488777279
1962	fe	proj_c	0.29450375572247656
1962	fe	eci	0.4913267256322503
1962	fe	bin	-0.12833287150003375
1962	fe	x1d	0.3587697230988044
1962	fe	x2divsqrtd	0.42451842304102405
1962	hc	fitness_year	0.8495087332851334
1962	hc	fitness_v2	0.8734315955660107
1962	hc	eci_year	0.631136167062045
1962	hc	kc	0.9434299176399964
1962	hc	xc1	0.7920412392031568
1962	hc	xc2	-0.24267233447925893
1962	hc	genepy	0.8318759339315558
1962	hc	ability	0.8909221662496665
1962	hc	fe	0.3029150654830882
1962	hc	hc	1.0
1962	hc	avgrca_p	0.9307444159694472
1962	hc	avgrca_m	0.9130867265986332
1962	hc	avgrca_c	0.9338343338235022
1962	hc	proj_p	0.6577453733460737
1962	hc	proj_m	0.6152954489494844
1962	hc	proj_c	0.6374920107491836
1962	hc	eci	0.631136167062045
1962	hc	bin	0.7929697632571032
1962	hc	x1d	0.8734511520081251
1962	hc	x2divsqrtd	0.2375165451945871
1962	avgrca_p	fitness_year	0.8297204320192009
1962	avgrca_p	fitness_v2	0.8589732877016756
1962	avgrca_p	eci_year	0.6097355438019467
1962	avgrca_p	kc	0.9600253157284799
1962	avgrca_p	xc1	0.7696928752388995
1962	avgrca_p	xc2	-0.31648517711898305
1962	avgrca_p	genepy	0.8058189252855682
1962	avgrca_p	ability	0.8918743055246899
1962	avgrca_p	fe	0.192166762967243
1962	avgrca_p	hc	0.9307444159694472
1962	avgrca_p	avgrca_p	1.0
1962	avgrca_p	avgrca_m	0.9508529267967465
1962	avgrca_p	avgrca_c	0.9739935108227032
1962	avgrca_p	proj_p	0.6665274012178319
1962	avgrca_p	proj_m	0.5955980265789591
1962	avgrca_p	proj_c	0.6329579092404107
1962	avgrca_p	eci	0.6097355438019467
1962	avgrca_p	bin	0.8749333278538767
1962	avgrca_p	x1d	0.8621378727943464
1962	avgrca_p	x2divsqrtd	0.16779590204009068
1962	avgrca_m	fitness_year	0.9208924841104049
1962	avgrca_m	fitness_v2	0.939819547535446
1962	avgrca_m	eci_year	0.7548335481576959
1962	avgrca_m	kc	0.9663549770305617
1962	avgrca_m	xc1	0.8846775412240544
1962	avgrca_m	xc2	-0.28126583403706834
1962	avgrca_m	genepy	0.9130663585048224
1962	avgrca_m	ability	0.9608409262633895
1962	avgrca_m	fe	0.2470563136139384
1962	avgrca_m	hc	0.9130867265986332
1962	avgrca_m	avgrca_p	0.9508529267967465
1962	avgrca_m	avgrca_m	1.0
1962	avgrca_m	avgrca_c	0.9934468198586603
1962	avgrca_m	proj_p	0.8273523267700786
1962	avgrca_m	proj_m	0.7806266945197564
1962	avgrca_m	proj_c	0.8057549224409973
1962	avgrca_m	eci	0.7548335481576959
1962	avgrca_m	bin	0.8704331962657669
1962	avgrca_m	x1d	0.943026801191164
1962	avgrca_m	x2divsqrtd	0.1765216231832526
1962	avgrca_c	fitness_year	0.9005929152406774
1962	avgrca_c	fitness_v2	0.9234597093204142
1962	avgrca_c	eci_year	0.7078696830970266
1962	avgrca_c	kc	0.9754331843449303
1962	avgrca_c	xc1	0.855101115605138
1962	avgrca_c	xc2	-0.29940352904573536
1962	avgrca_c	genepy	0.8901960087114983
1962	avgrca_c	ability	0.9461629405751367
1962	avgrca_c	fe	0.2279727987910574
1962	avgrca_c	hc	0.9338343338235022
1962	avgrca_c	avgrca_p	0.9739935108227032
1962	avgrca_c	avgrca_m	0.9934468198586603
1962	avgrca_c	avgrca_c	1.0
1962	avgrca_c	proj_p	0.7783297035423796
1962	avgrca_c	proj_m	0.7280376905640251
1962	avgrca_c	proj_c	0.753244144184186
1962	avgrca_c	eci	0.7078696830970266
1962	avgrca_c	bin	0.8851888628203788
1962	avgrca_c	x1d	0.9256642517445219
1962	avgrca_c	x2divsqrtd	0.1676963420596471
1962	proj_p	fitness_year	0.820219565314014
1962	proj_p	fitness_v2	0.8261042713009467
1962	proj_p	eci_year	0.9118538601715632
1962	proj_p	kc	0.7370977756989207
1962	proj_p	xc1	0.8454722432108094
1962	proj_p	xc2	-0.10754077959020401
1962	proj_p	genepy	0.8434419307524779
1962	proj_p	ability	0.8312885017111872
